word_type	word_subtype	word	dual_category	lemma_freq	llfpm10	freq_bin	mds_x	mds_y
Target words	Addiction and dependency	addikt	True	624.0	-0.1378002947755338	1	0.4796372909124827	0.47656495365695306
Target words	Addiction and dependency	függő	False	717965.0	2.92311838892451	10	0.7063035284960947	0.3418031182478347
Target words	Contemporary loanwords	toxikus	False	35778.0	1.620631175271425	8	0.634364640963839	-0.03654768061258319
Target words	Depression	depressziós	False	55483.0	1.8111750511484304	9	0.30677300702536325	-0.08452272822503688
Target words	Depression	depresszív	False	12524.0	1.1647581744869198	6	0.2635135565681298	-0.13366431610943716
Target words	Hysteria, mania, paranoia	hisztis	False	14725.0	1.2350704190011814	7	0.09514738685241327	0.06882800499414103
Target words	Hysteria, mania, paranoia	mániás	False	11943.0	1.1441285478458023	6	0.3876520068120761	-0.17933567630005326
Target words	Hysteria, mania, paranoia	paranoiás	True	7761.0	0.956932798978248	5	0.06197998311696569	-0.2321343113817937
Target words	Insanity and madness	abnormális	False	17703.0	1.3150619849007037	7	0.12375357247479253	-0.4425487004236975
Target words	Insanity and madness	beszámíthatatlan	False	1684.0	0.2933572027056728	2	-0.05110830173812225	-0.4914183909719985
Target words	Insanity and madness	bolond	True	108557.0	2.1026729485223123	10	-0.569663487599894	-0.24868802363550185
Target words	Insanity and madness	dilis	False	5133.0	0.7773863798028049	4	-0.5453044062768349	-0.08506981937886884
Target words	Insanity and madness	elmebeteg	True	30615.0	1.5529493793137938	8	-0.03450718047000257	-0.45560124347938036
Target words	Insanity and madness	eszelős	False	11685.0	1.134643832270288	5	-0.3702374013665416	-0.37091940010257557
Target words	Insanity and madness	flúgos	False	3176.0	0.5688956092971008	3	0.300692166660345	0.5819665125003426
Target words	Insanity and madness	habókos	False	1682.0	0.2928411070039355	2	-0.542783671938156	-0.30297179723556683
Target words	Insanity and madness	hibbant	False	3530.0	0.6147898209298648	3	-0.32769171759869076	-0.5675498769107343
Target words	Insanity and madness	tébolyult	False	4098.0	0.6795870696072184	3	-0.39305485856880346	-0.28694938165191436
Target words	Insanity and madness	zakkant	True	1057.0	0.0910901028494684	1	0.5365740477232146	0.43555817039613753
